Economy,Implementing Organization,Implementing Organization Link,Product Type,Sector,Fuel Type,Scope,Policy Name,Policy Type,Asset Link,Mandatory/Voluntary,Policy Status,Most Recent Effective Date,Test Procedures,Additional Notes,Test Procedures Link,Slug (For Url)
Brunei Darussalam,"Energy Labelling and Standards Task Force of Energy Department, Prime Ministers Office","http://www.energy.gov.bn/","Heating & Air Conditioning/Central AC","Residential","Electric","non inverter type and single phase ","Energy Efficiency Labelling Scheme for electrical appliances and equipment","Label Comparative"," ","voluntary","Under Consideration for Development "," "," "," "," ","energy-efficiency-labelling-scheme-for-electrical-appliances-and-equipment"
Tunisia,"National Agency for Energy Conservation (ANME)","http://www.anme.nat.tn/index.php?id=3","Heating & Air Conditioning/Room AC","Residential","Electric","Air conditioners with a power consumption below 12 kW , Since September 2004, Tunisian law requires the display of an EU-style energy label (with eight classes, the top one representing the recently added EU A+ and A++ classes) in a bilingual version (French and Arabic, and the numbers 1-8 indicating classes instead of letters). From July 2006  onwards, the lowest two energy classes (7 and 8) have been banned from the Tunisian market, followed in July 2007  with the banning of classes 5 and 6, from April 2009 class 4 has been likewise banned from the Tunisian market ","Law 2009-07 ","Minimum Energy Performance Standard","http://www.profiscal.com/newfisaf/loi/loi_2009-7_af.pdf ","mandatory","Entered into Force - No Activity ","1/1/2009 12:00:00 AM "," "," "," ","law-2009-07"
Tunisia,"National Agency for Energy Conservation (ANME)","http://www.anme.nat.tn/index.php?id=3","Heating & Air Conditioning/Room AC","Residential","Electric","Air conditioners with a power consumption below 12 kW ","Law 2009-07 ","Label Comparative","http://www.profiscal.com/newfisaf/loi/loi_2009-7_af.pdf ","mandatory","Entered into Force - No Activity ","1/1/2009 12:00:00 AM "," "," "," ","law-2009-07-1"
Tunisia,"National Agency for Energy Conservation (ANME)","http://www.anme.nat.tn/index.php?id=3","Refrigeration/Freezer","Residential","Electric","Since September 2004, Tunisian law requires the display of an EU-style energy label (with eight classes, the top one representing the recently added EU A+ and A++ classes) in a bilingual version (French and Arabic, and the numbers 1-8 indicating classes instead of letters). From January 2010  onwards, the lowest three energy classes (6,7 and 8) have been banned from the Tunisian market, followed in January 2011 7 with the banning of classes 5 and  January 2012 class 4 has been likewise banned from the Tunisian market. ","Law 2004-72 and Decree 2004-2145, Amended by Law 2009-07","Label Comparative","http://www.aes-tunisie.com/userfiles/file/loi%20n%C2%B02004_72.pdf ","mandatory","Entered into Force - No Activity ","2004 ","EN 153 "," "," ","law-2004-72-and-decree-2004-2145-amended-by-law-2009-07"
Tunisia,"National Agency for Energy Conservation (ANME)","http://www.anme.nat.tn/index.php?id=3","Refrigeration/Freezer","Residential","Electric"," ","Directive 2010/30/EU","Minimum Energy Performance Standard","http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32012R0874 ","mandatory","Entered into Force - No Activity ","2014 ","EN 153 "," "," ","directive-2010-30-eu"
Tunisia,"National Agency for Energy Conservation (ANME)","http://www.anme.nat.tn/index.php?id=3","Refrigeration/Refrigerator","Residential","Electric","In the framework of the ENPI CBC programmes, including a privileged instrument of cooperation for the institutional capacity-building of ENPI countries, Tunisia decided to largely harmonize the product categories and label efficiency thresholds with those in place in the EU. ","Directive 2010/30/EU, No 1060/2010","Minimum Energy Performance Standard","http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32010R1060 ","mandatory","Entered into Force - No Activity ","2010 "," "," "," ","directive-2010-30-eu-no-1060-2010"
Tunisia,"National Agency for Energy Conservation (ANME)","http://www.anme.nat.tn/index.php?id=3","Refrigeration/Refrigerator","Residential","Electric","In the framework of the ENPI CBC programmes, including a privileged instrument of cooperation for the institutional capacity-building of ENPI countries,
Tunisia decided to largely harmonize the product categories and label efficiency thresholds with those in place in the EU. ","Directive 2010/30/EU, No 1060/2011","Label Comparative","http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32010R1060 ","mandatory","Entered into Force - No Activity ","2010 "," "," "," ","directive-2010-30-eu-no-1060-2011"
France,"AFNOR Certification","http://www.afnor.org/en","Cooking & Dishwashing/Coffee Machine","Residential","Electric","The NF Environnement "filter coffee machine for domestic use" is for filter coffee machines for household use or assimilated. To be eligible the coffee maker must be equipped with a thermal carafe.
Exclusions: Coffee machines for professional use, espresso coffee makers, percolator coffee makers and coffee makers with a hot plate resistance are not covered. ","NF397 - NF Environnement - Cafetières électriques à filtre pour usage domestique","Label Endorsement"," ","voluntary","Entered into Force - No Activity ","2006 ","NF EN 60335-1 (20020301) NF EN 60335-2-15 (20010401) NF EN 60661 (20021201) PR NF EN 62301 ISO 11469:2000 (20000515) "," "," ","nf397-nf-environnement-cafetières-électriques-à-filtre-pour-usage-domestique"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Motors/Medium 3-Phase General Purpose ","Multi-Sector","Electric","Motors with EE label should be the single-speed, three-phase, cage-induction motors ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 ","BDS IEC 60034-2-1: 2009(Testing protocol); BDS-EN 60034-30 : 2011 (Efficiency Class) "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Cooking & Dishwashing/Rice Cooker","Residential","Electric"," ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/1/2016 0:00 "," "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-1"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Refrigeration/Refrigerator-Freezer","Residential","Electric"," ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 ","BDS-1850 : 2012 (Energy Efficiency rating) ,BDS 1849 : 2011 (Performance standards) "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-3"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Refrigeration/Freezer","Residential","Electric"," ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 ","BDS-1850 : 2012 (Energy Efficiency rating) ,BDS 1849 : 2011 (Performance standards) "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-4"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Heating & Air Conditioning/Room AC","Residential","Electric","The split air conditioners with EE label should satisfy the requirement of performance, which is stipulated in BDS (Bangladesh Standard) -1852 (2012) including both inverter and non-inverter type. ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","12/1/2015 0:00 ","BDS-1852 : 2012 (Energy Labeling)
ISO 5151 (2010),
JIS 8615-1, 2 (2013) "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-5"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Cooking & Dishwashing/Cooktop|Hob","Residential","Gas","Gas stove ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 0:00 "," "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-6"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Pumps/All Other Types","Multi-Sector","Electric","All types of water pumps over 2 horsepower ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/1/2016 0:00 "," "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-7"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Cooking & Dishwashing/Microwave","Residential","Electric"," ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/1/2016 0:00 "," "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-9"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Lighting/Ballast|Driver","Residential","Electric","Electronic ballasts should be the electronic ballasts for tubular fluorescent lamps ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/12/2015 "," "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-14"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Laundry/Iron","Residential","Electric"," ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/1/2016 0:00 ","BDS IEC 60311:05 "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-15"
Bangladesh,"Bangladesh Standards and Testing Institute","http://www.bsti.gov.bd/","Televisions, Displays, & Audiovisual/Television","Multi-Sector","Electric","LCD-LED, LCD-CCFL, OLED, Plasma  and CRT ","Energy Efficiency and Conservation Master plan up to 2030","Label Comparative","http://open_jicareport.jica.go.jp/pdf/12231247.pdf ","voluntary","Under Development ","1/1/2016 0:00 ","IEC 62087: 2008 or IEC 62087: 2011 "," "," ","energy-efficiency-and-conservation-master-plan-up-to-2030-2"
